t,Re<C_aa>,Im<C_aa>,|C_aa|,|C_aa|^2,Re<C_ab>,Im<C_ab>,|C_ab|,|C_ab|^2
0,1,0,1,1,0.00372739852,0,0.00372739852,1.38934997e-05
3.6,0.0229647762,-0.926921436,0.927205872,0.85971073,-0.00512941549,-0.00934742508,0.010662329,0.000113685259
7.2,-0.77187031,0.00944822873,0.771928134,0.595873044,-0.0152280319,0.00880001285,0.0175878703,0.000309333183
10.8,0.0723054363,0.626289745,0.630449777,0.397466921,0.00461232685,0.0177373381,0.0183272126,0.000335886721
14.4,0.512945443,-0.119341823,0.526645514,0.277355498,0.016909829,-0.00404686795,0.0173873361,0.000302319457
18,-0.137318325,-0.415558556,0.437658812,0.191545236,-0.00713664209,-0.00849590164,0.0110955849,0.000123112005
21.6,-0.314993724,0.139375054,0.344450942,0.118646452,-0.00581875552,0.0118210389,0.0131755408,0.000173594876
25.2,0.149723281,0.207146639,0.255591062,0.0653267909,0.0176206256,0.00993570854,0.0202288099,0.000409204751
28.8,0.104632895,-0.182113285,0.210031644,0.0441132914,0.0135225079,-0.0145688168,0.0198773399,0.000395108642
32.4,-0.239399619,-0.0257819427,0.240783899,0.057976886,-0.00828786817,-0.015224209,0.0173339349,0.000300465299
36,0.00746659942,0.304789758,0.304881201,0.0929525467,-0.0107336703,0.00636054625,0.0124767073,0.000155668226
39.6,0.335844044,-0.00605367041,0.335898599,0.112827869,0.00719147754,0.00343539374,0.00796989833,6.35192793e-05
43.2,-0.0216503808,-0.332720905,0.333424563,0.111171939,0.00275487541,-0.0120275181,0.0123389842,0.00015225053
46.8,-0.348080694,0.0626088403,0.353666561,0.125080036,-0.0143923329,-0.00448859429,0.0150760314,0.000227286724
50.4,0.0818284747,0.397894612,0.406221641,0.165016021,-0.00513045907,0.00911412574,0.0104589148,0.000109388898
54,0.443085934,-0.053805383,0.446340861,0.199220164,0.00559662301,0.00456137425,0.00721999475,5.21283242e-05
57.6,0.00268233201,-0.44566339,0.445671462,0.198623052,-0.00157828379,-0.00434935017,0.00462685926,2.14078266e-05
61.2,-0.402515268,-0.0525150117,0.405926555,0.164776368,-0.00623821908,0.00526544871,0.0081633527,6.66403274e-05
64.8,-0.0754822726,0.340348175,0.348617919,0.121534454,0.00415018105,0.0126453635,0.0133089902,0.00017712922
68.4,0.282979585,0.0724005201,0.292094644,0.0853192808,0.0126499824,-0.00284487119,0.0129659303,0.000168115347
72,0.0470656356,-0.238224271,0.242829112,0.0589659774,-0.000464012247,-0.00968340114,0.00969451211,9.3983565e-05
75.6,-0.205204615,-0.0147061495,0.205730904,0.0423252048,-0.00795089744,0.00259393108,0.0083633276,6.99452485e-05
79.2,0.00920529473,0.162220962,0.162481931,0.0264003779,0.0072593082,0.00648382562,0.00973332164,9.47375502e-05
82.8,0.098827578,-0.042418606,0.107546401,0.0115662283,0.0110862278,-0.00729796334,0.0132727057,0.000176164716
86.4,-0.0990484368,-0.0499020553,0.110909008,0.012300808,-0.00486747043,-0.0141221581,0.0149374568,0.000223127617
